a1,a2,a3,a4,a5,a6,a7,class
stock-picking,game,is,shaping,up,for,the,VBG
game,is,shaping,up,for,the,months,RP
is,shaping,up,for,the,months,ahead,IN
shaping,up,for,the,months,ahead,COMMA,DT
up,for,the,months,ahead,COMMA,according,NNS
for,the,months,ahead,COMMA,according,to,RB
the,months,ahead,COMMA,according,to,money,COMMA
months,ahead,COMMA,according,to,money,managers,VBG
ahead,COMMA,according,to,money,managers,and,TO
COMMA,according,to,money,managers,and,a,NN
according,to,money,managers,and,a,few,NNS
to,money,managers,and,a,few,brokers,CC
money,managers,and,a,few,brokers,PERIOD,DT
managers,and,a,few,brokers,PERIOD,_,JJ
and,a,few,brokers,PERIOD,_,_,NNS
a,few,brokers,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,Warehouse,productivity,is,DBQ
_,_,DBQ,Warehouse,productivity,is,really,NN
_,DBQ,Warehouse,productivity,is,really,beginning,NN
DBQ,Warehouse,productivity,is,really,beginning,to,VBZ
Warehouse,productivity,is,really,beginning,to,take,RB
productivity,is,really,beginning,to,take,off,VBG
is,really,beginning,to,take,off,PERIOD,TO
really,beginning,to,take,off,PERIOD,DQ,VB
beginning,to,take,off,PERIOD,DQ,_,RB
to,take,off,PERIOD,DQ,_,_,PERIOD
take,off,PERIOD,DQ,_,_,_,DQ
_,_,_,The,STR,17PERIOD2,billion,DT
_,_,The,STR,17PERIOD2,billion,total,STR
_,The,STR,17PERIOD2,billion,total,for,CD
The,STR,17PERIOD2,billion,total,for,the,CD
STR,17PERIOD2,billion,total,for,the,bill,NN
17PERIOD2,billion,total,for,the,bill,does,IN
billion,total,for,the,bill,does,nSQt,DT
total,for,the,bill,does,nSQt,include,NN
for,the,bill,does,nSQt,include,an,VBZ
the,bill,does,nSQt,include,an,estimated,RB
bill,does,nSQt,include,an,estimated,STR,VB
does,nSQt,include,an,estimated,STR,1PERIOD2,DT
nSQt,include,an,estimated,STR,1PERIOD2,billion,JJ
include,an,estimated,STR,1PERIOD2,billion,in,STR
an,estimated,STR,1PERIOD2,billion,in,supplemental,CD
estimated,STR,1PERIOD2,billion,in,supplemental,anti-drug,CD
STR,1PERIOD2,billion,in,supplemental,anti-drug,funds,IN
1PERIOD2,billion,in,supplemental,anti-drug,funds,approved,JJ
billion,in,supplemental,anti-drug,funds,approved,by,JJ
in,supplemental,anti-drug,funds,approved,by,the,NNS
supplemental,anti-drug,funds,approved,by,the,House-Senate,VBN
anti-drug,funds,approved,by,the,House-Senate,conference,IN
funds,approved,by,the,House-Senate,conference,yesterday,DT
approved,by,the,House-Senate,conference,yesterday,COMMA,NNP
by,the,House-Senate,conference,yesterday,COMMA,and,NN
the,House-Senate,conference,yesterday,COMMA,and,the,NN
House-Senate,conference,yesterday,COMMA,and,the,rush,COMMA
conference,yesterday,COMMA,and,the,rush,of,CC
yesterday,COMMA,and,the,rush,of,money,DT
COMMA,and,the,rush,of,money,is,NN
and,the,rush,of,money,is,already,IN
the,rush,of,money,is,already,provoking,NN
rush,of,money,is,already,provoking,jealousy,VBZ
of,money,is,already,provoking,jealousy,among,RB
money,is,already,provoking,jealousy,among,states,JJ
is,already,provoking,jealousy,among,states,competing,NN
already,provoking,jealousy,among,states,competing,for,IN
provoking,jealousy,among,states,competing,for,assistance,NNS
jealousy,among,states,competing,for,assistance,PERIOD,VBG
among,states,competing,for,assistance,PERIOD,_,IN
states,competing,for,assistance,PERIOD,_,_,NN
competing,for,assistance,PERIOD,_,_,_,PERIOD
_,_,_,In,one,of,the,IN
_,_,In,one,of,the,most,CD
_,In,one,of,the,most,sweeping,IN
In,one,of,the,most,sweeping,environmental,DT
one,of,the,most,sweeping,environmental,regulatory,RBS
of,the,most,sweeping,environmental,regulatory,efforts,JJ
the,most,sweeping,environmental,regulatory,efforts,to,JJ
most,sweeping,environmental,regulatory,efforts,to,date,JJ
sweeping,environmental,regulatory,efforts,to,date,--,NNS
environmental,regulatory,efforts,to,date,--,involving,TO
regulatory,efforts,to,date,--,involving,products,NN
efforts,to,date,--,involving,products,with,COLON
to,date,--,involving,products,with,an,VBG
date,--,involving,products,with,an,annual,NNS
--,involving,products,with,an,annual,value,IN
involving,products,with,an,annual,value,of,DT
products,with,an,annual,value,of,STR,JJ
with,an,annual,value,of,STR,135,NN
an,annual,value,of,STR,135,billion,IN
annual,value,of,STR,135,billion,in,STR
value,of,STR,135,billion,in,the,CD
of,STR,135,billion,in,the,UPERIODSPERIOD,CD
STR,135,billion,in,the,UPERIODSPERIOD,alone,IN
135,billion,in,the,UPERIODSPERIOD,alone,--,DT
billion,in,the,UPERIODSPERIOD,alone,--,the,NNP
in,the,UPERIODSPERIOD,alone,--,the,signatories,RB
the,UPERIODSPERIOD,alone,--,the,signatories,agreed,COLON
UPERIODSPERIOD,alone,--,the,signatories,agreed,to,DT
alone,--,the,signatories,agreed,to,curtail,NNS
--,the,signatories,agreed,to,curtail,sharply,VBD
the,signatories,agreed,to,curtail,sharply,the,TO
signatories,agreed,to,curtail,sharply,the,use,VB
agreed,to,curtail,sharply,the,use,of,RB
to,curtail,sharply,the,use,of,chlorofluorocarbons,DT
curtail,sharply,the,use,of,chlorofluorocarbons,(,NN
sharply,the,use,of,chlorofluorocarbons,(,CFCs,IN
the,use,of,chlorofluorocarbons,(,CFCs,),NNS
use,of,chlorofluorocarbons,(,CFCs,),PERIOD,(
of,chlorofluorocarbons,(,CFCs,),PERIOD,_,NNP
chlorofluorocarbons,(,CFCs,),PERIOD,_,_,)
(,CFCs,),PERIOD,_,_,_,PERIOD
_,_,_,And,while,he,was,CC
_,_,And,while,he,was,ever,IN
_,And,while,he,was,ever,alert,PRP
And,while,he,was,ever,alert,for,VBD
while,he,was,ever,alert,for,game,RB
he,was,ever,alert,for,game,COMMA,JJ
was,ever,alert,for,game,COMMA,and,IN
ever,alert,for,game,COMMA,and,most,NN
alert,for,game,COMMA,and,most,particularly,COMMA
for,game,COMMA,and,most,particularly,a,CC
game,COMMA,and,most,particularly,a,tiger,RBS
COMMA,and,most,particularly,a,tiger,COMMA,RB
and,most,particularly,a,tiger,COMMA,Penny,DT
most,particularly,a,tiger,COMMA,Penny,marvelled,NN
particularly,a,tiger,COMMA,Penny,marvelled,at,COMMA
a,tiger,COMMA,Penny,marvelled,at,the,NNP
tiger,COMMA,Penny,marvelled,at,the,Eden,VBD
COMMA,Penny,marvelled,at,the,Eden,they,IN
Penny,marvelled,at,the,Eden,they,were,DT
marvelled,at,the,Eden,they,were,traversing,NNP
at,the,Eden,they,were,traversing,PERIOD,PRP
the,Eden,they,were,traversing,PERIOD,_,VBD
Eden,they,were,traversing,PERIOD,_,_,VBG
they,were,traversing,PERIOD,_,_,_,PERIOD
_,_,_,In,the,morning,she,IN
_,_,In,the,morning,she,found,DT
_,In,the,morning,she,found,rooms,NN
In,the,morning,she,found,rooms,directly,PRP
the,morning,she,found,rooms,directly,across,VBD
morning,she,found,rooms,directly,across,from,NNS
she,found,rooms,directly,across,from,the,RB
found,rooms,directly,across,from,the,Excelsior,IN
rooms,directly,across,from,the,Excelsior,at,IN
directly,across,from,the,Excelsior,at,the,DT
across,from,the,Excelsior,at,the,equally,NNP
from,the,Excelsior,at,the,equally,luxurious,IN
the,Excelsior,at,the,equally,luxurious,Hotel,DT
Excelsior,at,the,equally,luxurious,Hotel,Ambassador,RB
at,the,equally,luxurious,Hotel,Ambassador,PERIOD,JJ
the,equally,luxurious,Hotel,Ambassador,PERIOD,_,NNP
equally,luxurious,Hotel,Ambassador,PERIOD,_,_,NNP
luxurious,Hotel,Ambassador,PERIOD,_,_,_,PERIOD
_,_,_,The,FBI,SQs,role,DT
_,_,The,FBI,SQs,role,is,NNP
_,The,FBI,SQs,role,is,to,POS
The,FBI,SQs,role,is,to,complement,NN
FBI,SQs,role,is,to,complement,the,VBZ
SQs,role,is,to,complement,the,DPERIODCPERIOD,TO
role,is,to,complement,the,DPERIODCPERIOD,initiative,VB
is,to,complement,the,DPERIODCPERIOD,initiative,through,DT
to,complement,the,DPERIODCPERIOD,initiative,through,not,NNP
complement,the,DPERIODCPERIOD,initiative,through,not,only,NN
the,DPERIODCPERIOD,initiative,through,not,only,these,IN
DPERIODCPERIOD,initiative,through,not,only,these,major,RB
initiative,through,not,only,these,major,trafficking,RB
through,not,only,these,major,trafficking,investigations,DT
not,only,these,major,trafficking,investigations,COMMA,JJ
only,these,major,trafficking,investigations,COMMA,but,NN
these,major,trafficking,investigations,COMMA,but,also,NNS
major,trafficking,investigations,COMMA,but,also,by,COMMA
trafficking,investigations,COMMA,but,also,by,providing,CC
investigations,COMMA,but,also,by,providing,a,RB
COMMA,but,also,by,providing,a,full,IN
but,also,by,providing,a,full,range,VBG
also,by,providing,a,full,range,of,DT
by,providing,a,full,range,of,services,JJ
providing,a,full,range,of,services,through,NN
a,full,range,of,services,through,various,IN
full,range,of,services,through,various,task,NNS
range,of,services,through,various,task,forces,IN
of,services,through,various,task,forces,and,JJ
services,through,various,task,forces,and,our,NN
through,various,task,forces,and,our,contacts,NNS
various,task,forces,and,our,contacts,with,CC
task,forces,and,our,contacts,with,local,PRPSTR
forces,and,our,contacts,with,local,police,NNS
and,our,contacts,with,local,police,squads,IN
our,contacts,with,local,police,squads,handling,JJ
contacts,with,local,police,squads,handling,drug-related,NN
with,local,police,squads,handling,drug-related,crimes,NNS
local,police,squads,handling,drug-related,crimes,PERIOD,VBG
police,squads,handling,drug-related,crimes,PERIOD,_,JJ
squads,handling,drug-related,crimes,PERIOD,_,_,NNS
handling,drug-related,crimes,PERIOD,_,_,_,PERIOD
_,_,_,A,year,ago,COMMA,DT
_,_,A,year,ago,COMMA,the,NN
_,A,year,ago,COMMA,the,Minneapolis,RB
A,year,ago,COMMA,the,Minneapolis,glass,COMMA
year,ago,COMMA,the,Minneapolis,glass,products,DT
ago,COMMA,the,Minneapolis,glass,products,and,NNP
COMMA,the,Minneapolis,glass,products,and,aluminum,NN
the,Minneapolis,glass,products,and,aluminum,window,NNS
Minneapolis,glass,products,and,aluminum,window,maker,CC
glass,products,and,aluminum,window,maker,earned,NN
products,and,aluminum,window,maker,earned,STR,NN
and,aluminum,window,maker,earned,STR,4,NN
aluminum,window,maker,earned,STR,4,million,VBD
window,maker,earned,STR,4,million,COMMA,STR
maker,earned,STR,4,million,COMMA,or,CD
earned,STR,4,million,COMMA,or,30,CD
STR,4,million,COMMA,or,30,cents,COMMA
4,million,COMMA,or,30,cents,a,CC
million,COMMA,or,30,cents,a,share,CD
COMMA,or,30,cents,a,share,COMMA,NNS
or,30,cents,a,share,COMMA,on,DT
30,cents,a,share,COMMA,on,revenue,NN
cents,a,share,COMMA,on,revenue,of,COMMA
a,share,COMMA,on,revenue,of,STR,IN
share,COMMA,on,revenue,of,STR,114,NN
COMMA,on,revenue,of,STR,114,million,IN
on,revenue,of,STR,114,million,PERIOD,STR
revenue,of,STR,114,million,PERIOD,_,CD
of,STR,114,million,PERIOD,_,_,CD
STR,114,million,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,That,SQs,a,DBQ
_,_,DBQ,That,SQs,a,lie,DT
_,DBQ,That,SQs,a,lie,PERIOD,VBZ
DBQ,That,SQs,a,lie,PERIOD,_,DT
That,SQs,a,lie,PERIOD,_,_,NN
SQs,a,lie,PERIOD,_,_,_,PERIOD
_,_,_,The,effort,to,create,DT
_,_,The,effort,to,create,the,NN
_,The,effort,to,create,the,nation,TO
The,effort,to,create,the,nation,SQs,VB
effort,to,create,the,nation,SQs,largest,DT
to,create,the,nation,SQs,largest,employee-owned,NN
create,the,nation,SQs,largest,employee-owned,company,POS
the,nation,SQs,largest,employee-owned,company,began,JJS
nation,SQs,largest,employee-owned,company,began,unraveling,JJ
SQs,largest,employee-owned,company,began,unraveling,OctPERIOD,NN
largest,employee-owned,company,began,unraveling,OctPERIOD,13,VBD
employee-owned,company,began,unraveling,OctPERIOD,13,when,VBG
company,began,unraveling,OctPERIOD,13,when,the,NNP
began,unraveling,OctPERIOD,13,when,the,labor-management,CD
unraveling,OctPERIOD,13,when,the,labor-management,group,WRB
OctPERIOD,13,when,the,labor-management,group,was,DT
13,when,the,labor-management,group,was,unable,JJ
when,the,labor-management,group,was,unable,to,NN
the,labor-management,group,was,unable,to,obtain,VBD
labor-management,group,was,unable,to,obtain,financing,JJ
group,was,unable,to,obtain,financing,for,TO
was,unable,to,obtain,financing,for,its,VB
unable,to,obtain,financing,for,its,STR,NN
to,obtain,financing,for,its,STR,300-a-share,IN
obtain,financing,for,its,STR,300-a-share,COMMA,PRPSTR
financing,for,its,STR,300-a-share,COMMA,STR,STR
for,its,STR,300-a-share,COMMA,STR,6PERIOD79,JJ
its,STR,300-a-share,COMMA,STR,6PERIOD79,billion,COMMA
STR,300-a-share,COMMA,STR,6PERIOD79,billion,offer,STR
300-a-share,COMMA,STR,6PERIOD79,billion,offer,PERIOD,CD
COMMA,STR,6PERIOD79,billion,offer,PERIOD,_,CD
STR,6PERIOD79,billion,offer,PERIOD,_,_,NN
6PERIOD79,billion,offer,PERIOD,_,_,_,PERIOD
_,_,_,FRANKFURT,COLON,_,_,NNP
_,_,FRANKFURT,COLON,_,_,_,COLON
_,_,_,Once,he,was,held,RB
_,_,Once,he,was,held,for,PRP
_,Once,he,was,held,for,three,VBD
Once,he,was,held,for,three,months,VBN
he,was,held,for,three,months,without,IN
was,held,for,three,months,without,being,CD
held,for,three,months,without,being,charged,NNS
for,three,months,without,being,charged,PERIOD,IN
three,months,without,being,charged,PERIOD,_,VBG
months,without,being,charged,PERIOD,_,_,VBN
without,being,charged,PERIOD,_,_,_,PERIOD
_,_,_,On,her,bureau,lay,IN
_,_,On,her,bureau,lay,a,PRPSTR
_,On,her,bureau,lay,a,small,NN
On,her,bureau,lay,a,small,COMMA,VBD
her,bureau,lay,a,small,COMMA,brass,DT
bureau,lay,a,small,COMMA,brass,ornament,JJ
lay,a,small,COMMA,brass,ornament,of,COMMA
a,small,COMMA,brass,ornament,of,simple,JJ
small,COMMA,brass,ornament,of,simple,design,NN
COMMA,brass,ornament,of,simple,design,and,IN
brass,ornament,of,simple,design,and,faded,NN
ornament,of,simple,design,and,faded,engraving,NN
of,simple,design,and,faded,engraving,--,CC
simple,design,and,faded,engraving,--,an,VBN
design,and,faded,engraving,--,an,object,NN
and,faded,engraving,--,an,object,which,COLON
faded,engraving,--,an,object,which,COMMA,DT
engraving,--,an,object,which,COMMA,Pamela,NN
--,an,object,which,COMMA,Pamela,believed,WDT
an,object,which,COMMA,Pamela,believed,now,COMMA
object,which,COMMA,Pamela,believed,now,COMMA,NNP
which,COMMA,Pamela,believed,now,COMMA,had,VBD
COMMA,Pamela,believed,now,COMMA,had,been,RB
Pamela,believed,now,COMMA,had,been,the,COMMA
believed,now,COMMA,had,been,the,property,VBD
now,COMMA,had,been,the,property,of,VBN
COMMA,had,been,the,property,of,her,DT
had,been,the,property,of,her,great-grandfather,NN
been,the,property,of,her,great-grandfather,COMMA,IN
the,property,of,her,great-grandfather,COMMA,Major,PRPSTR
property,of,her,great-grandfather,COMMA,Major,Hiram,NN
of,her,great-grandfather,COMMA,Major,Hiram,Munroe,COMMA
her,great-grandfather,COMMA,Major,Hiram,Munroe,Culver,NNP
great-grandfather,COMMA,Major,Hiram,Munroe,Culver,PERIOD,NNP
COMMA,Major,Hiram,Munroe,Culver,PERIOD,_,NNP
Major,Hiram,Munroe,Culver,PERIOD,_,_,NNP
Hiram,Munroe,Culver,PERIOD,_,_,_,PERIOD
_,_,_,The,addition,to,reserves,DT
_,_,The,addition,to,reserves,comes,NN
_,The,addition,to,reserves,comes,on,TO
The,addition,to,reserves,comes,on,top,NNS
addition,to,reserves,comes,on,top,of,VBZ
to,reserves,comes,on,top,of,a,IN
reserves,comes,on,top,of,a,provision,NN
comes,on,top,of,a,provision,of,IN
on,top,of,a,provision,of,STR,DT
top,of,a,provision,of,STR,199PERIOD7,NN
of,a,provision,of,STR,199PERIOD7,million,IN
a,provision,of,STR,199PERIOD7,million,that,STR
provision,of,STR,199PERIOD7,million,that,was,CD
of,STR,199PERIOD7,million,that,was,announced,CD
STR,199PERIOD7,million,that,was,announced,in,DT
199PERIOD7,million,that,was,announced,in,June,VBD
million,that,was,announced,in,June,PERIOD,VBN
that,was,announced,in,June,PERIOD,_,IN
was,announced,in,June,PERIOD,_,_,NNP
announced,in,June,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,In,every,case,DBQ
_,_,DBQ,In,every,case,COMMA,IN
_,DBQ,In,every,case,COMMA,people,DT
DBQ,In,every,case,COMMA,people,would,NN
In,every,case,COMMA,people,would,like,COMMA
every,case,COMMA,people,would,like,to,NNS
case,COMMA,people,would,like,to,see,MD
COMMA,people,would,like,to,see,a,VB
people,would,like,to,see,a,consentual,TO
would,like,to,see,a,consentual,plan,VB
like,to,see,a,consentual,plan,COMMA,DT
to,see,a,consentual,plan,COMMA,DQ,JJ
see,a,consentual,plan,COMMA,DQ,he,NN
a,consentual,plan,COMMA,DQ,he,said,COMMA
consentual,plan,COMMA,DQ,he,said,PERIOD,DQ
plan,COMMA,DQ,he,said,PERIOD,_,PRP
COMMA,DQ,he,said,PERIOD,_,_,VBD
DQ,he,said,PERIOD,_,_,_,PERIOD
_,_,_,Amoco,is,the,first,NNP
_,_,Amoco,is,the,first,major,VBZ
_,Amoco,is,the,first,major,oil,DT
Amoco,is,the,first,major,oil,company,RB
is,the,first,major,oil,company,to,JJ
the,first,major,oil,company,to,report,NN
first,major,oil,company,to,report,third-quarter,NN
major,oil,company,to,report,third-quarter,results,TO
oil,company,to,report,third-quarter,results,PERIOD,VB
company,to,report,third-quarter,results,PERIOD,_,JJ
to,report,third-quarter,results,PERIOD,_,_,NNS
report,third-quarter,results,PERIOD,_,_,_,PERIOD
_,_,_,IBM,can,raise,its,NNP
_,_,IBM,can,raise,its,stake,MD
_,IBM,can,raise,its,stake,in,VB
IBM,can,raise,its,stake,in,Paxus,PRPSTR
can,raise,its,stake,in,Paxus,to,NN
raise,its,stake,in,Paxus,to,20,IN
its,stake,in,Paxus,to,20,PERCENT,NN
stake,in,Paxus,to,20,PERCENT,over,TO
in,Paxus,to,20,PERCENT,over,three,CD
Paxus,to,20,PERCENT,over,three,years,NN
to,20,PERCENT,over,three,years,COMMA,IN
20,PERCENT,over,three,years,COMMA,but,CD
PERCENT,over,three,years,COMMA,but,agreed,NNS
over,three,years,COMMA,but,agreed,to,COMMA
three,years,COMMA,but,agreed,to,not,CC
years,COMMA,but,agreed,to,not,go,VBD
COMMA,but,agreed,to,not,go,beyond,TO
but,agreed,to,not,go,beyond,20,RB
agreed,to,not,go,beyond,20,PERCENT,VB
to,not,go,beyond,20,PERCENT,in,IN
not,go,beyond,20,PERCENT,in,that,CD
go,beyond,20,PERCENT,in,that,time,NN
beyond,20,PERCENT,in,that,time,PERIOD,IN
20,PERCENT,in,that,time,PERIOD,_,DT
PERCENT,in,that,time,PERIOD,_,_,NN
in,that,time,PERIOD,_,_,_,PERIOD
_,_,_,Lucille,Gorman,COMMA,an,NNP
_,_,Lucille,Gorman,COMMA,an,84-year-old,NNP
_,Lucille,Gorman,COMMA,an,84-year-old,Chicago,COMMA
Lucille,Gorman,COMMA,an,84-year-old,Chicago,housewife,DT
Gorman,COMMA,an,84-year-old,Chicago,housewife,COMMA,JJ
COMMA,an,84-year-old,Chicago,housewife,COMMA,has,NNP
an,84-year-old,Chicago,housewife,COMMA,has,become,NN
84-year-old,Chicago,housewife,COMMA,has,become,amazingly,COMMA
Chicago,housewife,COMMA,has,become,amazingly,immune,VBZ
housewife,COMMA,has,become,amazingly,immune,to,VBN
COMMA,has,become,amazingly,immune,to,stock-market,RB
has,become,amazingly,immune,to,stock-market,jolts,JJ
become,amazingly,immune,to,stock-market,jolts,PERIOD,TO
amazingly,immune,to,stock-market,jolts,PERIOD,_,NN
immune,to,stock-market,jolts,PERIOD,_,_,NNS
to,stock-market,jolts,PERIOD,_,_,_,PERIOD
_,_,_,Drifting,here,and,there,VBG
_,_,Drifting,here,and,there,PERIOD,RB
_,Drifting,here,and,there,PERIOD,_,CC
Drifting,here,and,there,PERIOD,_,_,RB
here,and,there,PERIOD,_,_,_,PERIOD
_,_,_,12COLON06,aPERIODm,PERIOD,_,CD
_,_,12COLON06,aPERIODm,PERIOD,_,_,RB
_,12COLON06,aPERIODm,PERIOD,_,_,_,PERIOD
_,_,_,JPERIOD,Thomas,Allen,COMMA,NNP
_,_,JPERIOD,Thomas,Allen,COMMA,president,NNP
_,JPERIOD,Thomas,Allen,COMMA,president,of,NNP
JPERIOD,Thomas,Allen,COMMA,president,of,Pittsburgh-based,COMMA
Thomas,Allen,COMMA,president,of,Pittsburgh-based,Advanced,NN
Allen,COMMA,president,of,Pittsburgh-based,Advanced,Investment,IN
COMMA,president,of,Pittsburgh-based,Advanced,Investment,Management,JJ
president,of,Pittsburgh-based,Advanced,Investment,Management,IncPERIOD,NNP
of,Pittsburgh-based,Advanced,Investment,Management,IncPERIOD,COMMA,NNP
Pittsburgh-based,Advanced,Investment,Management,IncPERIOD,COMMA,agrees,NNP
Advanced,Investment,Management,IncPERIOD,COMMA,agrees,it,NNP
Investment,Management,IncPERIOD,COMMA,agrees,it,SQs,COMMA
Management,IncPERIOD,COMMA,agrees,it,SQs,a,VBZ
IncPERIOD,COMMA,agrees,it,SQs,a,good,PRP
COMMA,agrees,it,SQs,a,good,idea,VBZ
agrees,it,SQs,a,good,idea,to,DT
it,SQs,a,good,idea,to,jump,JJ
SQs,a,good,idea,to,jump,between,NN
a,good,idea,to,jump,between,the,TO
good,idea,to,jump,between,the,S&P,VB
idea,to,jump,between,the,S&P,500,IN
to,jump,between,the,S&P,500,stocks,DT
jump,between,the,S&P,500,stocks,and,NNP
between,the,S&P,500,stocks,and,futures,CD
the,S&P,500,stocks,and,futures,PERIOD,NNS
S&P,500,stocks,and,futures,PERIOD,_,CC
500,stocks,and,futures,PERIOD,_,_,NNS
stocks,and,futures,PERIOD,_,_,_,PERIOD
_,_,_,He,had,little,time,PRP
_,_,He,had,little,time,to,VBD
_,He,had,little,time,to,himself,JJ
He,had,little,time,to,himself,COMMA,NN
had,little,time,to,himself,COMMA,anyway,TO
little,time,to,himself,COMMA,anyway,PERIOD,PRP
time,to,himself,COMMA,anyway,PERIOD,_,COMMA
to,himself,COMMA,anyway,PERIOD,_,_,RB
himself,COMMA,anyway,PERIOD,_,_,_,PERIOD
_,_,_,The,30-share,index,settled,DT
_,_,The,30-share,index,settled,42PERIOD0,JJ
_,The,30-share,index,settled,42PERIOD0,points,NN
The,30-share,index,settled,42PERIOD0,points,lower,VBD
30-share,index,settled,42PERIOD0,points,lower,at,CD
index,settled,42PERIOD0,points,lower,at,1678PERIOD5,NNS
settled,42PERIOD0,points,lower,at,1678PERIOD5,PERIOD,JJR
42PERIOD0,points,lower,at,1678PERIOD5,PERIOD,_,IN
points,lower,at,1678PERIOD5,PERIOD,_,_,CD
lower,at,1678PERIOD5,PERIOD,_,_,_,PERIOD
_,_,_,The,Senate,is,expected,DT
_,_,The,Senate,is,expected,to,NNP
_,The,Senate,is,expected,to,make,VBZ
The,Senate,is,expected,to,make,some,VBN
Senate,is,expected,to,make,some,modifications,TO
is,expected,to,make,some,modifications,today,VB
expected,to,make,some,modifications,today,COMMA,DT
to,make,some,modifications,today,COMMA,but,NNS
make,some,modifications,today,COMMA,but,both,NN
some,modifications,today,COMMA,but,both,the,COMMA
modifications,today,COMMA,but,both,the,White,CC
today,COMMA,but,both,the,White,House,CC
COMMA,but,both,the,White,House,and,DT
but,both,the,White,House,and,Congress,NNP
both,the,White,House,and,Congress,appear,NNP
the,White,House,and,Congress,appear,most,CC
White,House,and,Congress,appear,most,anxious,NNP
House,and,Congress,appear,most,anxious,to,VBP
and,Congress,appear,most,anxious,to,speed,RBS
Congress,appear,most,anxious,to,speed,final,JJ
appear,most,anxious,to,speed,final,approval,TO
most,anxious,to,speed,final,approval,before,VB
anxious,to,speed,final,approval,before,tonight,JJ
to,speed,final,approval,before,tonight,SQs,NN
speed,final,approval,before,tonight,SQs,deadline,IN
final,approval,before,tonight,SQs,deadline,PERIOD,NN
approval,before,tonight,SQs,deadline,PERIOD,_,POS
before,tonight,SQs,deadline,PERIOD,_,_,NN
tonight,SQs,deadline,PERIOD,_,_,_,PERIOD
_,_,_,Jaguar,shares,closed,at,NNP
_,_,Jaguar,shares,closed,at,869,NNS
_,Jaguar,shares,closed,at,869,pence,VBD
Jaguar,shares,closed,at,869,pence,COMMA,IN
shares,closed,at,869,pence,COMMA,up,CD
closed,at,869,pence,COMMA,up,122,NN
at,869,pence,COMMA,up,122,pence,COMMA
869,pence,COMMA,up,122,pence,COMMA,RB
pence,COMMA,up,122,pence,COMMA,on,CD
COMMA,up,122,pence,COMMA,on,hefty,NN
up,122,pence,COMMA,on,hefty,turnover,COMMA
122,pence,COMMA,on,hefty,turnover,of,IN
pence,COMMA,on,hefty,turnover,of,9PERIOD7,JJ
COMMA,on,hefty,turnover,of,9PERIOD7,million,NN
on,hefty,turnover,of,9PERIOD7,million,shares,IN
hefty,turnover,of,9PERIOD7,million,shares,PERIOD,CD
turnover,of,9PERIOD7,million,shares,PERIOD,_,CD
of,9PERIOD7,million,shares,PERIOD,_,_,NNS
9PERIOD7,million,shares,PERIOD,_,_,_,PERIOD
_,_,_,Because,mutual,fund,trades,IN
_,_,Because,mutual,fund,trades,do,JJ
_,Because,mutual,fund,trades,do,nSQt,NN
Because,mutual,fund,trades,do,nSQt,take,NNS
mutual,fund,trades,do,nSQt,take,effect,VBP
fund,trades,do,nSQt,take,effect,until,RB
trades,do,nSQt,take,effect,until,the,VB
do,nSQt,take,effect,until,the,market,NN
nSQt,take,effect,until,the,market,close,IN
take,effect,until,the,market,close,--,DT
effect,until,the,market,close,--,in,NN
until,the,market,close,--,in,this,RB
the,market,close,--,in,this,case,COLON
market,close,--,in,this,case,COMMA,IN
close,--,in,this,case,COMMA,at,DT
--,in,this,case,COMMA,at,4,NN
in,this,case,COMMA,at,4,pPERIODmPERIOD,COMMA
this,case,COMMA,at,4,pPERIODmPERIOD,--,IN
case,COMMA,at,4,pPERIODmPERIOD,--,these,CD
COMMA,at,4,pPERIODmPERIOD,--,these,shareholders,RB
at,4,pPERIODmPERIOD,--,these,shareholders,effectively,COLON
4,pPERIODmPERIOD,--,these,shareholders,effectively,stayed,DT
pPERIODmPERIOD,--,these,shareholders,effectively,stayed,put,NNS
--,these,shareholders,effectively,stayed,put,PERIOD,RB
these,shareholders,effectively,stayed,put,PERIOD,_,VBD
shareholders,effectively,stayed,put,PERIOD,_,_,VBN
effectively,stayed,put,PERIOD,_,_,_,PERIOD
_,_,_,He,fired,again,COMMA,PRP
_,_,He,fired,again,COMMA,and,VBD
_,He,fired,again,COMMA,and,somewhere,RB
He,fired,again,COMMA,and,somewhere,in,COMMA
fired,again,COMMA,and,somewhere,in,the,CC
again,COMMA,and,somewhere,in,the,gloom,RB
COMMA,and,somewhere,in,the,gloom,a,IN
and,somewhere,in,the,gloom,a,man,DT
somewhere,in,the,gloom,a,man,screamed,NN
in,the,gloom,a,man,screamed,PERIOD,DT
the,gloom,a,man,screamed,PERIOD,_,NN
gloom,a,man,screamed,PERIOD,_,_,VBD
a,man,screamed,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,A,maid,told,DBQ
_,_,DBQ,A,maid,told,us,DT
_,DBQ,A,maid,told,us,that,NN
DBQ,A,maid,told,us,that,she,VBD
A,maid,told,us,that,she,still,PRP
maid,told,us,that,she,still,bragged,IN
told,us,that,she,still,bragged,about,PRP
us,that,she,still,bragged,about,getting,RB
that,she,still,bragged,about,getting,STR,VBD
she,still,bragged,about,getting,STR,50,IN
